timestamp,epoch,step,loss,gradient_energy_retention,mask_stability,layer_update_variance,max_update_ratio
2026-05-09T01:46:00.891852,1,4,6.383403062820435,0.9889421118382493,0.0,0.009467863901506035,2377009077.463299
2026-05-09T01:46:00.990051,1,8,6.391610682010651,0.9889531072575238,0.0,0.009926837206155953,2436932746.786624
2026-05-09T01:46:01.056516,1,12,6.392295757929484,0.9893257176571282,0.0,0.010286865259462192,2481170773.9718256
2026-05-09T01:46:01.121723,1,16,6.391212731599808,0.9891198889020999,0.0,0.00967938413051565,2404389334.8425627
2026-05-09T01:46:01.203334,1,20,6.393863582611084,0.9890930641871972,0.0,0.010592824630370543,2519414318.9582973
2026-05-09T01:46:01.267772,2,4,6.351674795150757,0.9889109477668833,0.0,0.009257949037892194,2349211182.4452877
2026-05-09T01:46:01.333739,2,8,6.360556542873383,0.9890666166555376,0.0,0.009852411527248589,2427685235.161334
2026-05-09T01:46:01.405782,2,12,6.368907928466797,0.9894444160763619,0.0,0.010436208764859156,2499733834.993094
2026-05-09T01:46:01.475017,2,16,6.36822035908699,0.9890195814376022,0.0,0.009590586470857905,2392883695.429191
2026-05-09T01:46:01.540299,2,20,6.3718976974487305,0.9889916020731095,0.0,0.010496557063736449,2507761886.809021
2026-05-09T01:46:01.611022,3,4,6.336796760559082,0.9889026976312201,0.0,0.009205484528127724,2342297349.823639
2026-05-09T01:46:01.654964,3,8,6.341528415679932,0.9890268433129568,0.0,0.009814304303843566,2422846271.6564536
2026-05-09T01:46:01.693489,3,12,6.346951921780904,0.9894498148475139,0.0,0.010016735778761918,2447358537.465334
2026-05-09T01:46:01.745063,3,16,6.347765266895294,0.9889553933520633,0.0,0.00939322296136904,2367058419.622481
2026-05-09T01:46:01.782039,3,20,6.353517651557922,0.9891132036238444,0.0,0.01061312123495538,2521973234.8341494
